,year,month,state,residential_price,perc_residential_rev,perc_commercial_rev,perc_industrial_rev
11705,2009,2,MT,8.6,0.4163675893850971,0.3520685745196559,0.231563836095247
11706,2009,2,NC,9.8,0.5713302906989816,0.30914701319723914,0.1194788551900897
11707,2009,2,ND,6.92,0.454515276652813,0.35050656610588093,0.19497815724130604
11708,2009,2,NE,7.66,0.42808063743412594,0.33765349605385914,0.23426586651201492
11709,2009,2,NH,16.41,0.4720181417924303,0.37949897886109857,0.148476248574384
11710,2009,2,NJ,15.93,0.40109856026105145,0.49959561839953837,0.09472829184764353
11711,2009,2,NM,9.95,0.3766117707136474,0.4079497750842965,0.21544596390835155
11712,2009,2,NV,12.52,0.38741046782254135,0.30122954516751765,0.3110938712179985
11713,2009,2,NY,16.75,0.3948387038015264,0.5364367975737263,0.04942542213883677
11714,2009,2,OH,9.66,0.43933912721858237,0.3124151007066481,0.24776247167640417
11715,2009,2,OK,9.41,0.47224796730842145,0.31824086166463045,0.20951117102694808
11716,2009,2,OR,8.53,0.5354802605464708,0.30956161299348633,0.15454817571920326
11717,2009,2,PA,11.0,0.4787638701016039,0.3055905874854646,0.21069247954869832
11718,2009,2,RI,17.9,0.4378379529101205,0.455571167028569,0.10659088006131051
11719,2009,2,SC,10.34,0.5144993375344609,0.26597650922490557,0.21952415324063357
11720,2009,2,SD,7.82,0.5078725894549103,0.35347229963214805,0.1386551109129417
11721,2009,2,TN,9.58,0.5065353903602191,0.2912490013861978,0.20219637331678275
11722,2009,2,TX,12.84,0.4532842979174871,0.3305845662837805,0.2159330502558869
11723,2009,2,UT,8.03,0.3935478486506172,0.3718105325452766,0.23293449973824173
11724,2009,2,VA,10.16,0.5307520495127338,0.3552650952695873,0.11231579341410763
11725,2009,2,VT,14.73,0.4692952026398172,0.35244944580759796,0.17825535155258482
11726,2009,2,WA,7.55,0.5286113634775316,0.32537563771053185,0.14599902159480047
11727,2009,2,WI,11.6,0.42773730679978095,0.34228991753901433,0.22997277566120472
11728,2009,2,WV,7.65,0.5221700313145446,0.21763053279143624,0.26000510804628335
11729,2009,2,WY,8.09,0.26578540123566174,0.30694262324130844,0.42727197552302987
11730,2009,3,AK,17.31,0.40963855421686746,0.4212290641003439,0.16914475149056182
11731,2009,3,AL,10.61,0.44840907085833775,0.3073306065446682,0.2442621996887782
11732,2009,3,AR,9.25,0.48020434734284945,0.2640240707514965,0.25575173465013257
11733,2009,3,AZ,9.93,0.4432899618875522,0.4303427368498296,0.1263695944303542
11734,2009,3,CA,14.14,0.40127974372099934,0.454631020987797,0.1418162453144867
11735,2009,3,CO,9.37,0.4071535625773462,0.3864582551028072,0.20552614994791887
11736,2009,3,CT,20.34,0.48945704382436717,0.40741459841453004,0.09865171067930747
11738,2009,3,DE,13.62,0.45492302245861865,0.36926769879029125,0.17581791336033087
11739,2009,3,FL,12.6,0.5228221180354968,0.40723770102745843,0.06954884127285144
11740,2009,3,GA,9.76,0.46344742584708787,0.3722143384162818,0.1631309903384259
11741,2009,3,HI,21.59,0.35098989818380116,0.34411348083714066,0.3048966209790582
11742,2009,3,IA,9.43,0.4350587401531878,0.2679111713374531,0.2970300885093591
11743,2009,3,ID,7.33,0.5201884131346738,0.2711015478084768,0.20871003905684943
11744,2009,3,IL,11.74,0.3949027439420206,0.3617633244999733,0.2397111720366877
11745,2009,3,IN,9.8,0.4031760997213216,0.2595412870515571,0.3369955969457619
11746,2009,3,KS,9.45,0.3875026229669216,0.39114129197305153,0.22135608506002688
11747,2009,3,KY,8.43,0.37451830643617506,0.24317514086675712,0.3823065526970678
11748,2009,3,LA,8.65,0.39653932169783046,0.3356927120558873,0.26758582528301017
11749,2009,3,MA,17.32,0.3978295076877483,0.31828054107071035,0.280919283935111
11750,2009,3,MD,14.72,0.49391893169910533,0.42722432951111383,0.069675846104377
11751,2009,3,ME,15.34,0.47280103862382344,0.34335443037974683,0.18383641674780915
11752,2009,3,MI,10.66,0.4208360053146232,0.3704812081127639,0.20859895970861783
11753,2009,3,MN,9.72,0.43217588160428894,0.33532837014427785,0.23217137644024463
11754,2009,3,MO,8.04,0.5071866295264624,0.3497121634168988,0.1428853296193129
11755,2009,3,MS,10.31,0.4321260441390524,0.30522954667645785,0.2626444091844897
11756,2009,3,MT,8.71,0.41480437984247936,0.3585302341465497,0.22666538601097094
11757,2009,3,NC,9.79,0.5327194993930081,0.33227026678317784,0.13496214364887135
11758,2009,3,ND,6.87,0.43112650618648407,0.3661616842332264,0.2027118095802895
11759,2009,3,NE,7.73,0.4039638840643977,0.3223273345404826,0.27370878139511967
11760,2009,3,NH,16.64,0.4665951084873112,0.3807636279996933,0.15264126351299548
11761,2009,3,NJ,15.85,0.40017132696092866,0.5009238673062255,0.0952719322852791
11762,2009,3,NM,10.01,0.3575765157814949,0.4255668312642122,0.21686401200997887
11763,2009,3,NV,12.74,0.3815413294990972,0.3082199224235939,0.310021400387882
11764,2009,3,NY,16.39,0.39931339927532983,0.53007393453162,0.048739318299180344
11765,2009,3,OH,10.32,0.40710831146746634,0.33404492635697897,0.2583731794951499
11766,2009,3,OK,8.25,0.4657605737759918,0.33509159093111857,0.19915156304751397
11767,2009,3,OR,8.4,0.5190668678116458,0.3233856826035381,0.15712839754499974
11768,2009,3,PA,11.16,0.4495987656175045,0.3103248234972054,0.23465195888709914
11769,2009,3,RI,14.81,0.4247467522649826,0.4675226498261284,0.10773059790888896
11770,2009,3,SC,10.4,0.4828014606894894,0.285816118500777,0.2313824208097336
11771,2009,3,SD,7.9,0.49635133146976607,0.3583492717375313,0.14529939679270265
11772,2009,3,TN,9.81,0.4615159169295419,0.3181474517621607,0.22031397778822356
11773,2009,3,TX,12.93,0.42638876383200164,0.3423754377700983,0.23101246536470324
11774,2009,3,UT,8.05,0.3814608705786376,0.3902817434881417,0.22658207563661792
11775,2009,3,VA,10.24,0.5000306910240655,0.38813998614519485,0.10987511884942483
11776,2009,3,VT,14.63,0.47189522755475066,0.35343931314350874,0.17466545930174063
11777,2009,3,WA,7.53,0.5210013203827302,0.32852569320093333,0.15045670772514333
11778,2009,3,WI,11.49,0.42268737470671913,0.33900262181951557,0.23830806282275452
11779,2009,3,WV,7.74,0.4740930553956006,0.24488080156627895,0.28084187492802026
11780,2009,3,WY,8.24,0.2508931974085366,0.3175019054878049,0.4316048971036585
11781,2009,4,AK,17.02,0.3806472156987621,0.4473191895872308,0.17202032665950193
11782,2009,4,AL,11.09,0.4057756467016634,0.329730883562077,0.264495446208336
11783,2009,4,AR,9.07,0.449220753058384,0.2817467584792323,0.26902333162405684
11784,2009,4,AZ,10.65,0.429313997620801,0.4374304650767575,0.13325553730244152
11785,2009,4,CA,13.96,0.36611095285249845,0.47428050907479546,0.1574410116712644
11786,2009,4,CO,9.54,0.39288598060811203,0.3972720871795203,0.20897956810738533
11787,2009,4,CT,20.59,0.46368301289290076,0.424100908987146,0.10681023952284853
11789,2009,4,DE,14.16,0.43576610351039485,0.3854812795170164,0.17874287940016553
11790,2009,4,FL,12.38,0.5102730722785767,0.41911680485907865,0.07022450767248781
11791,2009,4,GA,9.82,0.4325658477441907,0.39523473984351115,0.17098041068155187
11792,2009,4,HI,22.19,0.3525487271481265,0.34543365650132024,0.3020176163505533
11793,2009,4,IA,9.94,0.4234102515203526,0.27293030746085223,0.30365944101879516
11794,2009,4,ID,7.29,0.45846027829665664,0.2822123884965388,0.25932733320680457
11795,2009,4,IL,11.97,0.38755932929034737,0.37182816993195256,0.23706724285016803
11796,2009,4,IN,10.04,0.37817685248323674,0.2630092908285032,0.3585048727128083
11797,2009,4,KS,9.54,0.36744269824830006,0.4082946818570721,0.22425811681001487
11798,2009,4,KY,8.57,0.34507433885654176,0.23546333085425475,0.4194623302892035
11799,2009,4,LA,8.49,0.36823802163833075,0.3442369978046643,0.2873650065466287
11800,2009,4,MA,17.53,0.3983191174517067,0.32279370649893885,0.27642037819085014
11801,2009,4,MD,14.8,0.461216419135908,0.4522304854740385,0.07789389217218186
11802,2009,4,ME,15.44,0.46412562194732276,0.34564294517734057,0.19023143287533664
11803,2009,4,MI,10.67,0.3986823926126562,0.37639078611516574,0.2248409582315336
11804,2009,4,MN,9.76,0.41886112928738145,0.3436654696089898,0.23710500960909284
11805,2009,4,MO,8.31,0.47816663930181746,0.36691968627252863,0.1546863356782904
11806,2009,4,MS,10.6,0.401604972434492,0.3285475070421536,0.2698475205233544
11807,2009,4,MT,8.73,0.3984648406513928,0.3589309878213802,0.2426041715272269
11808,2009,4,NC,10.17,0.4829709598065929,0.3677038731732376,0.14928015167523281
11809,2009,4,ND,7.36,0.4094824924350028,0.3694343234731057,0.22108318409189157
11810,2009,4,NE,8.07,0.38896069230985364,0.34286055463459864,0.2681717288078447
11811,2009,4,NH,16.85,0.42938122755876024,0.40545859063507333,0.16516018180616643
11812,2009,4,NJ,15.78,0.41162168536675764,0.5013079955524108,0.08314970180936015
11813,2009,4,NM,9.6,0.3317592166549617,0.4262142897504823,0.2420345659877784
11814,2009,4,NV,12.97,0.3558478538036549,0.3161410964725882,0.32775605609859754
11815,2009,4,NY,16.5,0.3858741206555822,0.5392908209702072,0.05561507801662276
11816,2009,4,OH,11.0,0.37943447890810106,0.3408233585587547,0.27926546959293647
11817,2009,4,OK,8.57,0.44882557582515964,0.3433315794846826,0.2078389181633278
11818,2009,4,OR,8.56,0.4885540795848005,0.3413560144378855,0.16964515441333225
11819,2009,4,PA,11.57,0.4235891676235657,0.32422160570917163,0.24713326087908055
11820,2009,4,RI,15.75,0.4195781984500064,0.46934315842967855,0.11107864312031508
11821,2009,4,SC,10.7,0.4314784717504759,0.31062536371160887,0.25789616453791525
11822,2009,4,SD,8.22,0.4824045064717238,0.3648691414285262,0.15272635209975
11823,2009,4,TN,9.61,0.41933720667962904,0.33727088783484993,0.24336556365749695
11824,2009,4,TX,12.88,0.4051169975985474,0.3531729761742062,0.24147614492017935
11825,2009,4,UT,8.11,0.3803503450837176,0.4005292315310575,0.21754975085884065
11826,2009,4,VA,10.65,0.438332082846225,0.4237653620887206,0.13595702977322563
11827,2009,4,VT,15.09,0.44494314217285535,0.37716634921832276,0.1778905086088219
11828,2009,4,WA,7.6,0.49951100544645816,0.3416967088006744,0.15877387173202281
11829,2009,4,WI,11.67,0.4074652089189329,0.346490282639811,0.246046664022487
11830,2009,4,WV,7.99,0.42286879564962415,0.27084555099429547,0.3060790638161753
11831,2009,4,WY,8.41,0.24183423246689553,0.31129230014713094,0.4468734673859735
11832,2009,5,AK,17.61,0.36336299561868995,0.4537785397447411,0.18285846463656896
11833,2009,5,AL,10.59,0.4245262175087487,0.32295430734033226,0.25252125695795646
11834,2009,5,AR,9.23,0.4356249861704246,0.28804460867833515,0.27631270329475804
11835,2009,5,AZ,11.33,0.4908730152510842,0.4048738897865851,0.10425309496233072
11836,2009,5,CA,15.01,0.3625857543205182,0.48382535994436443,0.15149834324986208
11837,2009,5,CO,9.68,0.38084075003507023,0.4049378867465748,0.21345137709057468
11838,2009,5,CT,21.03,0.4493388539467126,0.4304475353867811,0.11636370923099659
11840,2009,5,DE,14.69,0.3952613463539582,0.39919354838709675,0.205545105258945
11841,2009,5,FL,12.26,0.5311060781369242,0.401175254178873,0.06736860244701016
11842,2009,5,GA,10.06,0.4439974766743124,0.3883034113600679,0.1666125512260626
11843,2009,5,HI,22.04,0.3450454500049945,0.3503583558086105,0.30459619418639494
11844,2009,5,IA,10.27,0.3971175010742504,0.28575061604974,0.3171318828760096
11845,2009,5,ID,7.39,0.3830480332794918,0.2694393560671004,0.3475035869300391
11846,2009,5,IL,12.16,0.37198567357232437,0.3798668907930521,0.24447752376086598
11847,2009,5,IN,10.27,0.36970162676985735,0.2779154189940284,0.35213313255710577
11848,2009,5,KS,9.86,0.36699382012309273,0.4159869082525967,0.21702347848401604
11849,2009,5,KY,8.56,0.33899076814429013,0.2674009097118007,0.3936059990800667
11850,2009,5,LA,8.54,0.39925350576887336,0.32948965677834224,0.271115778254941
11851,2009,5,MA,17.69,0.3626629292221444,0.3360943704741883,0.29894417192244804
11852,2009,5,MD,14.97,0.4181797704391429,0.4916461002076233,0.08018307413065905
11853,2009,5,ME,15.45,0.43559045893056547,0.3537994032255112,0.21061013784392332
11854,2009,5,MI,11.73,0.3652228454942658,0.41192168155154346,0.22278704766249224
11855,2009,5,MN,10.11,0.400871329050559,0.36037095361254795,0.23840313699315868
11856,2009,5,MO,9.44,0.44740039278891275,0.3978960602959961,0.15452075071279373
11857,2009,5,MS,10.72,0.4178559163582249,0.31999402195342214,0.262150061688353
11858,2009,5,MT,9.04,0.3713035043649116,0.3837888924814087,0.24492003879921406
11859,2009,5,NC,10.22,0.4715409167355222,0.37223490408817245,0.15617707308192258
11860,2009,5,ND,8.26,0.38335019836489503,0.3754477264331261,0.24120207520197884
11861,2009,5,NE,8.73,0.36346437954155,0.3649818505123971,0.2715537699460529
11862,2009,5,NH,16.56,0.4151509514836351,0.41549871005831024,0.16935033845805467
11863,2009,5,NJ,16.05,0.3598816847224491,0.5229244923512439,0.11370969205364109
11864,2009,5,NM,9.55,0.3338701848828487,0.44025504125667386,0.22587477386047744
11865,2009,5,NV,12.46,0.4054458388154599,0.28695843824509615,0.30735528855465544
11866,2009,5,NY,16.87,0.3742362027589689,0.5521459179467187,0.0542769769574651
11867,2009,5,OH,11.27,0.3635046182831635,0.3599896025110327,0.276150075635869
11868,2009,5,OK,8.69,0.4453065164808937,0.3559431317438435,0.19875035177526282
11869,2009,5,OR,8.76,0.44516034941813504,0.3607114009632931,0.19366081311514644
11870,2009,5,PA,12.03,0.4053661622808487,0.3505243742875219,0.23857714001851127
11871,2009,5,RI,15.14,0.3621179461670259,0.4764936715856961,0.16138838224727795
11872,2009,5,SC,10.67,0.4404676255327128,0.31187060403669425,0.24766177043059295
11873,2009,5,SD,8.86,0.4437923324784639,0.38715723022292364,0.16903399750115078
11874,2009,5,TN,9.7,0.40263641405803907,0.3493960331081512,0.24793810300568217
11875,2009,5,TX,12.84,0.46707380904169354,0.34130884111513965,0.19139117378497228
11876,2009,5,UT,8.56,0.34485198645241516,0.4239047547076483,0.22976621485150556
11877,2009,5,VA,11.12,0.44171437429947635,0.4260980986913498,0.1305343940821957
11878,2009,5,VT,15.08,0.4337621729548494,0.3813972762719207,0.18484055077322986
11879,2009,5,WA,7.68,0.4621417409605362,0.36204373628160313,0.17578968286227858
11880,2009,5,WI,11.97,0.380488517488943,0.3591092611686395,0.26040433851971195
11881,2009,5,WV,8.08,0.3937524734909999,0.28664519562755025,0.3194249218718015
11882,2009,5,WY,8.93,0.20754949276076037,0.309108145375751,0.4833300502314587
11883,2009,6,AK,17.7,0.3455546124147751,0.45221927110429616,0.20222611648092878
11884,2009,6,AL,11.24,0.46428703448315084,0.30714799575749474,0.2285635480082689
11885,2009,6,AR,9.22,0.45758437058670776,0.28144042744680925,0.26096097271184693
11886,2009,6,AZ,11.27,0.5234146312292756,0.37883354412780423,0.09775182464292015
11887,2009,6,CA,14.77,0.3388904309208244,0.5086312025022038,0.15059098373927324
11888,2009,6,CO,9.93,0.3934242229239311,0.3901587824187007,0.21565675461307074
11889,2009,6,CT,20.93,0.4474683529121078,0.44577714980701094,0.10311061427855195
11891,2009,6,DE,14.8,0.4259331044412449,0.3876305977036955,0.18643629785505964
11892,2009,6,FL,12.23,0.5643297809757618,0.37617953718920843,0.05917941883990808
11893,2009,6,GA,10.82,0.4977364731349714,0.34786037519537716,0.1532949759138667
11894,2009,6,HI,22.2,0.3479169669886118,0.3455384171832204,0.3065446158281678
11895,2009,6,IA,10.91,0.39395879614562845,0.2857880661638815,0.32024960027167376
11896,2009,6,ID,8.35,0.3595790325844971,0.26247318356607974,0.3779558793766444
11897,2009,6,IL,11.4,0.4179070397111913,0.36170126353790616,0.2174196750902527
11898,2009,6,IN,9.78,0.4083152639489894,0.2769479633110434,0.3144967192692333
11899,2009,6,KS,10.04,0.43598449981654686,0.38333987756914895,0.1806756226143042
11900,2009,6,KY,8.46,0.39555666458019656,0.28502309214866944,0.31942024327113394
11901,2009,6,LA,7.64,0.45995288705548537,0.3184208948795201,0.22148412435863563
11902,2009,6,MA,17.62,0.3735623389421753,0.3343468627006911,0.2898168608031927
11903,2009,6,MD,15.87,0.47619465467441774,0.4583437534276626,0.05983108478666228
11904,2009,6,ME,15.54,0.4340337645334095,0.35209345639285616,0.21387277907373428
11905,2009,6,MI,12.42,0.39218883115200853,0.3937893273681116,0.21396828401895188
11906,2009,6,MN,10.7,0.40108540883732874,0.36413248990453073,0.23445764571321864
11907,2009,6,MO,9.91,0.4933109241488535,0.38078527434000514,0.1256951529459699
11908,2009,6,MS,10.56,0.4594485482656657,0.3072483060371635,0.23330314569717073
11909,2009,6,MT,9.49,0.3500640599791212,0.39822767391098035,0.251720129068995
11910,2009,6,NC,9.98,0.5042884009217811,0.34891002039573016,0.1467591979445342
11911,2009,6,ND,8.87,0.35566808896391117,0.3906941123145934,0.25363779872149544
11912,2009,6,NE,9.89,0.3869979465212303,0.348224734482987,0.26477731899578266
11913,2009,6,NH,16.6,0.4094332855093257,0.4236745141515586,0.1668922003391157
11914,2009,6,NJ,16.77,0.3822737383203884,0.5261868657412808,0.08762976787588941
11915,2009,6,NM,10.32,0.3547199783034036,0.4416677966977264,0.20361222499886997
11916,2009,6,NV,12.02,0.4546120175598464,0.26073430340933434,0.2843914963278435
11917,2009,6,NY,18.21,0.36729124252481105,0.5611507024272914,0.05337343246561285
11918,2009,6,OH,11.36,0.4048164049269808,0.3456217627181805,0.2492710266052434
11919,2009,6,OK,8.26,0.48591860063269265,0.34824680330701546,0.16583459606029188
11920,2009,6,OR,8.95,0.42081730623618135,0.37497349850077233,0.20372838234848714
11921,2009,6,PA,12.44,0.41861481455215943,0.3349771292816112,0.24172576413020352
11922,2009,6,RI,16.44,0.3937574891695087,0.4865194948843211,0.11972301594617016
11923,2009,6,SC,10.6,0.47603558595263223,0.2998874580889916,0.22407528619708528
11924,2009,6,SD,9.28,0.42829725648124845,0.3993833375283161,0.1723036748049333
11925,2009,6,TN,9.47,0.4402675380166951,0.34564563652379937,0.21406223556826515
11926,2009,6,TX,12.66,0.501091667330435,0.3318745866884506,0.16684542101743643
11927,2009,6,UT,9.04,0.35449468002121753,0.40295173016318764,0.24116197073231613
11928,2009,6,VA,11.16,0.4797704457558755,0.40546857523701463,0.11307057051863025
11929,2009,6,VT,15.11,0.42114600288969767,0.3840188744810432,0.19483512262925912
11930,2009,6,WA,7.82,0.4288671613006538,0.38966003003079663,0.181458884033317
11931,2009,6,WI,12.65,0.39143370403986005,0.3551740111249619,0.25339228483517806
11932,2009,6,WV,7.97,0.4070931287798997,0.29079973238475654,0.3020408974384452
11933,2009,6,WY,9.28,0.19206013978981243,0.3172801327500377,0.49067229848644844
11934,2009,7,AK,17.97,0.34744072386236047,0.44242784492437753,0.21014464038042402
11935,2009,7,AL,10.81,0.5113797776183551,0.28179666806488246,0.20682355431676253
11936,2009,7,AR,9.38,0.5080730006873624,0.2559120176189207,0.23600095389061118
11937,2009,7,AZ,11.3,0.5653064681165036,0.3470548108893225,0.08763872099417389
11938,2009,7,CA,15.66,0.3717342924286606,0.4847280748426484,0.1416956278057526
11939,2009,7,CO,10.38,0.4144254599492881,0.37703795759378483,0.20778282140395152
11940,2009,7,CT,20.48,0.46437124548191816,0.4192843231792104,0.11247043333495102
11942,2009,7,DE,14.42,0.4497440171448982,0.36279715839187204,0.18745882446322976
11943,2009,7,FL,12.36,0.5922240555029177,0.35565279352176493,0.05182463980944908
11944,2009,7,GA,10.8,0.5525866780468497,0.31759515369196245,0.1288282192578397
11945,2009,7,HI,22.99,0.34196237467612933,0.3432353272501971,0.31480229807367355
11946,2009,7,IA,11.41,0.43619295530085783,0.2763598434511302,0.287447201248012
11947,2009,7,ID,8.49,0.3691917488161725,0.23329834951335007,0.3975099016704774
11948,2009,7,IL,10.97,0.40633459712917286,0.36280006175366036,0.2280146198200527
11949,2009,7,IN,9.62,0.4198589851089744,0.26432182486978767,0.3155896735970426
11950,2009,7,KS,9.88,0.46226900924752856,0.3612128258513761,0.17651816490109537
11951,2009,7,KY,8.57,0.4103855039780478,0.2692673137729556,0.3203471822489966
11952,2009,7,LA,7.99,0.5129446357493453,0.3012509977582661,0.1856443696212163
11953,2009,7,MA,16.48,0.38057133598359244,0.3379336222371617,0.2789295871536814
11954,2009,7,MD,15.9,0.5016754360610115,0.43376783827821447,0.05818878967010536
11955,2009,7,ME,15.49,0.4523325103939655,0.35430354400045033,0.19337198735836464
11956,2009,7,MI,12.14,0.4259314337115167,0.38764036793082435,0.18638225536565786
11957,2009,7,MN,10.93,0.410756157219973,0.3490953947368421,0.2398511302294197
11958,2009,7,MO,9.76,0.5191664410011098,0.3587190127275374,0.12189383753019092
11959,2009,7,MS,10.16,0.5137729911117047,0.2831694165782055,0.2030575923100897
11960,2009,7,MT,9.58,0.359995517705065,0.3818803227252353,0.2581241595696997
11961,2009,7,NC,10.2,0.5568676904784049,0.32904495908582765,0.11405178875266028
11962,2009,7,ND,8.91,0.35389581544111115,0.389255782272633,0.25686320964255044
11963,2009,7,NE,9.98,0.4114047224805498,0.2937509923560233,0.2948488216481049
11964,2009,7,NH,16.39,0.42148304492671557,0.4192032476080514,0.1593137074652331
11965,2009,7,NJ,17.71,0.4478901239693083,0.47524192624828215,0.07404696804855704
