year,state,energy_source,mw_generation,perc_gen,total_gen
1990,ID,Coal,44371,0.0045783536561772075,9691475
1990,ID,Hydroelectric,9114990,0.9405162784818616,9691475
1990,ID,Natural Gas,55714,0.0057487637330746865,9691475
1990,ID,Other,65203,0.00672787166040257,9691475
1990,ID,Petroleum,994,1.025643671370973e-4,9691475
1990,ID,Wood and Wood Derived Fuels,410203,0.0423261681013468,9691475
1990,IL,Coal,54966018,0.42480074439570753,129392471
1990,IL,Hydroelectric,143926,0.0011123212879982792,129392471
1990,IL,Natural Gas,1419891,0.01097352101730865,129392471
1990,IL,Nuclear,71887302,0.5555756176879875,129392471
1990,IL,Other Biomass,154855,0.0011967852441739056,129392471
1990,IL,Other Gases,381562,0.002948873277178546,129392471
1990,IL,Petroleum,438584,0.0033895635241404424,129392471
1990,IL,Wood and Wood Derived Fuels,333,2.573565505213978e-6,129392471
1990,IN,Coal,96925554,0.955711992441197,101417116
1990,IN,Hydroelectric,441021,0.004348585499118315,101417116
1990,IN,Natural Gas,1470837,0.014502847823043992,101417116
1990,IN,Other Biomass,37117,3.659835880168393e-4,101417116
1990,IN,Other Gases,1674549,0.01651150285125442,101417116
1990,IN,Petroleum,868038,0.00855908779736943,101417116
1990,KS,Coal,23720258,0.6938820308653039,34184857
1990,KS,Hydroelectric,13234,3.871304770998457e-4,34184857
1990,KS,Natural Gas,2502807,0.07321390871987558,34184857
1990,KS,Nuclear,7874487,0.23035015182307184,34184857
1990,KS,Petroleum,74026,0.002165461742314733,34184857
1990,KS,Wind,45,1.316372334101032e-6,34184857
1990,KY,Coal,70500461,0.9551964964542932,73807286
1990,KY,Hydroelectric,3160383,0.04281939048673325,73807286
1990,KY,Natural Gas,27796,3.766023858403356e-4,73807286
1990,KY,Petroleum,118646,0.001607510673133273,73807286
1990,LA,Coal,17856687,0.23352566375245976,76465630
1990,LA,Hydroelectric,656492,0.008585452052118057,76465630
1990,LA,Natural Gas,39474866,0.5162432585725116,76465630
1990,LA,Nuclear,14196784,0.1856622903649653,76465630
1990,LA,Other,1292819,0.01690719085162837,76465630
1990,LA,Other Biomass,91646,0.001198525402850928,76465630
1990,LA,Other Gases,440700,0.00576337368828322,76465630
1990,LA,Petroleum,232098,0.0030353244980784178,76465630
1990,LA,Wood and Wood Derived Fuels,2223538,0.029078920817104364,76465630
1990,MA,Coal,11365893,0.2854962161096587,39811011
1990,MA,Hydroelectric,1249242,0.031379308603843296,39811011
1990,MA,Natural Gas,6132702,0.1540453720203187,39811011
1990,MA,Nuclear,5069620,0.12734215667117824,39811011
1990,MA,Other Biomass,1560515,0.03919807512549731,39811011
1990,MA,Other Gases,830,2.084850344544126e-5,39811011
1990,MA,Petroleum,15101792,0.37933706330643047,39811011
1990,MA,Pumped Storage,-669583,-0.016819040340372165,39811011
1990,MA,Wood and Wood Derived Fuels,0,0,39811011
1990,MD,Coal,23509862,0.708933568282916,33162292
1990,MD,Hydroelectric,2298910,0.06932301301731497,33162292
1990,MD,Natural Gas,1522443,0.04590885937558236,33162292
1990,MD,Nuclear,1251416,0.037736113052740744,33162292
1990,MD,Other Biomass,371074,0.011189636711479411,33162292
1990,MD,Other Gases,488197,0.014721449289452009,33162292
1990,MD,Petroleum,3571272,0.10769074706899029,33162292
1990,MD,Wood and Wood Derived Fuels,149118,0.004496613201524189,33162292
1990,ME,Coal,453218,0.028422024463292207,15946014
1990,ME,Hydroelectric,4090536,0.25652404419060465,15946014
1990,ME,Natural Gas,50786,0.0031848711533803997,15946014
1990,ME,Nuclear,4860727,0.3048239516157455,15946014
1990,ME,Other Biomass,360798,0.02262621869013786,15946014
1990,ME,Petroleum,3081100,0.19322070079707693,15946014
1990,ME,Wood and Wood Derived Fuels,3048849,0.1911981890897625,15946014
1990,MI,Coal,67066870,0.6702683018245391,100059737
1990,MI,Hydroelectric,1627918,0.016269461112015514,100059737
1990,MI,Natural Gas,7837956,0.0783327663553623,100059737
1990,MI,Nuclear,21610500,0.21597598242737737,100059737
1990,MI,Other Biomass,310842,0.0031065642317248945,100059737
1990,MI,Other Gases,340949,0.0034074544889119585,100059737
1990,MI,Petroleum,861725,0.008612105386605203,100059737
1990,MI,Pumped Storage,-694986,-0.006945710840715082,100059737
1990,MI,Wood and Wood Derived Fuels,1097963,0.01097307501417878,100059737
1990,MN,Coal,28176280,0.654191642069714,43070376
1990,MN,Hydroelectric,857046,0.01989873503774381,43070376
1990,MN,Natural Gas,539839,0.012533881756685848,43070376
1990,MN,Nuclear,12139302,0.28184806187900474,43070376
1990,MN,Other Biomass,484811,0.011256251860907831,43070376
1990,MN,Petroleum,447814,0.010397262378206311,43070376
1990,MN,Wind,266,6.175938654447781e-6,43070376
1990,MN,Wood and Wood Derived Fuels,425018,0.009867989079083034,43070376
1990,MO,Coal,48796793,0.8221477055095772,59352830
1990,MO,Hydroelectric,2192115,0.036933622204703635,59352830
1990,MO,Natural Gas,312109,0.005258536113610758,59352830
1990,MO,Nuclear,7998039,0.13475413051071028,59352830
1990,MO,Petroleum,90033,0.0015169116620049963,59352830
1990,MO,Pumped Storage,-36259,-6.109060006068793e-4,59352830
1990,MS,Coal,9526527,0.3780155298410403,25201417
1990,MS,Natural Gas,5919664,0.23489409345514184,25201417
1990,MS,Nuclear,7422131,0.29451244745483957,25201417
1990,MS,Petroleum,738971,0.029322597217450112,25201417
1990,MS,Wood and Wood Derived Fuels,1594124,0.06325533203152822,25201417
1990,MT,Coal,15119619,0.5808586798224741,26029772
1990,MT,Hydroelectric,10716817,0.411713825230586,26029772
1990,MT,Natural Gas,55255,0.0021227615823911175,26029772
1990,MT,Petroleum,28982,0.0011134173591685705,26029772
1990,MT,Wind,0,0,26029772
1990,MT,Wood and Wood Derived Fuels,109099,0.004191316005380301,26029772
1990,NC,Coal,49821595,0.5866487493719074,84925767
1990,NC,Hydroelectric,6819427,0.08029868014026885,84925767
1990,NC,Natural Gas,203465,0.0023957982033886134,84925767
1990,NC,Nuclear,25905319,0.3050348547337818,84925767
1990,NC,Other,203406,0.002395103479018329,84925767
1990,NC,Other Biomass,26270,3.093289696164887e-4,84925767
1990,NC,Petroleum,328025,0.0038624908739417095,84925767
1990,NC,Pumped Storage,180046,0.0021200397283429894,84925767
1990,NC,Wood and Wood Derived Fuels,1438214,0.016934954499733867,84925767
1990,ND,Coal,25189003,0.9331589465978194,26993261
1990,ND,Hydroelectric,1711148,0.06339167394410035,26993261
1990,ND,Natural Gas,51563,0.0019102175168831954,26993261
1990,ND,Petroleum,41547,0.001539161941197101,26993261
1990,NE,Coal,12661150,0.5852543084972455,21633587
1990,NE,Hydroelectric,1140093,0.05270013706002615,21633587
1990,NE,Natural Gas,308065,0.014240125782192291,21633587
1990,NE,Nuclear,7511298,0.3472053894714732,21633587
1990,NE,Petroleum,12981,6.000391890628216e-4,21633587
1990,NH,Coal,2959203,0.23854544498934158,12405196
1990,NH,Hydroelectric,1881087,0.15163702371167695,12405196
1990,NH,Natural Gas,0,0,12405196
1990,NH,Nuclear,4080691,0.32895014314969306,12405196
1990,NH,Other Biomass,147524,0.011892113594980684,12405196
1990,NH,Petroleum,2346493,0.18915404480509618,12405196
1990,NH,Wood and Wood Derived Fuels,990198,0.07982122974921153,12405196
