,year,state,energy_source,mw_generation,perc_gen,total_gen,nameplate_cap,summer_cap,num_facilities,num_generators,tot_nameplate_cap,tot_summer_cap,tot_num_gen,tot_num_facilities,tot_cap_change,tot_cap_growth_rate,p_nameplate_cap,p_summer_cap,cap_change,cap_growth_rate,residential_price,perc_residential_rev,perc_commercial_rev,perc_industrial_rev,funded,tot_funded,region,regulated,rps,net_meter,num_funded,avg_1603_funding
14,2013.0,AK,Hydroelectric,1435479.43,0.22095102952526186,6496821.64,420.3,415.6,28.0,0.0,2589.8,2384.0,0.0,131.0,267.70000000000033,10.336705537107123,0.1622905243648158,0.17432885906040269,0.0,0.0,18.18583333,0.366970305,0.42681453799999997,0.20621516899999998,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
15,2014.0,AK,Hydroelectric,1538738.0,0.254638653448186,6042829.63,440.4,435.7,28.0,0.0,2702.2,2464.2,0.0,132.0,112.39999999999964,4.159573680704598,0.16297831396639775,0.17681194708221734,20.09999999999997,0.04564032697547677,19.29166667,0.36228167200000005,0.439177941,0.198540379,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
16,2015.0,AK,Hydroelectric,1568929.0,0.2496332103249404,6284937.0,445.9,441.1,30.0,0.0,2806.8,2589.1,0.0,141.0,104.60000000000036,3.726663816445788,0.1588641869744905,0.1703680815727473,5.5,0.012334604171338866,19.91916667,0.372469596,0.445534527,0.181995905,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
17,2016.0,AK,Hydroelectric,1659152.0,0.2619010410993848,6335034.0,475.2,470.4,32.0,0.0,3010.3,2742.4,0.0,145.0,203.5,6.760123575723349,0.15785802079526956,0.17152858809801633,29.300000000000008,0.061658249158249176,20.36833333,0.369281749,0.438067339,0.19265092,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
18,2017.0,AK,Hydroelectric,1643670.0,0.2529709663691917,6497466.0,475.5,470.6,32.0,0.0,3020.4,2748.7,0.0,147.0,10.099999999999909,0.33439279565620145,0.1574294795391339,0.17120820751628044,0.30000000000001137,0.0006309148264984466,21.335,0.36872061,0.43391880200000005,0.197360615,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
19,2018.0,AK,Hydroelectric,1664225.0,0.2663885651520907,6247359.0,476.2,470.6,32.0,0.0,3015.6,2744.5,0.0,147.0,-4.800000000000182,-0.15917230401910673,0.15791218994561612,0.1714702131535799,0.6999999999999886,0.0014699706005879645,22.00583333,0.37306853700000003,0.42596323700000005,0.20096825399999999,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
20,2009.0,AK,Natural Gas,3577403.0,0.5337687452655182,6702159.0,946.0,836.0,11.0,0.0,2212.0,2012.0,0.0,137.0,22.0,0.9945750452079566,0.42766726943942135,0.415506958250497,0.0,0.0,17.18166667,0.380929457,0.43557204200000005,0.18349952600000002,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
21,2010.0,AK,Natural Gas,3750024.0,0.5547721565335099,6759576.0,959.0,845.0,12.0,0.0,2261.0,2067.0,0.0,138.0,49.0,2.1671826625387,0.4241486068111455,0.4088050314465409,13.0,0.013555787278415016,16.29083333,0.366902121,0.4292827,0.203815213,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
22,2011.0,AK,Natural Gas,3906432.63,0.5685364557836726,6871032.79,945.8,837.5,11.0,0.0,2261.2,2066.5,0.0,124.0,0.1999999999998181,0.008844861135672125,0.4182734831063152,0.4052746189208808,-13.200000000000045,-0.013956438993444752,17.70833333,0.36802174299999996,0.425756087,0.206221323,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
23,2012.0,AK,Natural Gas,3606037.0,0.5191217977380572,6946419.0,964.9,853.6,13.0,0.0,2322.1,2118.5,0.0,130.0,60.9000000000001,2.622626071228633,0.4155290469833341,0.4029265990087326,19.100000000000023,0.01979479738833042,17.95416667,0.36659336299999995,0.41102201299999996,0.222382587,0.0,25877840.0,Alaska,Regulated,0.0,1.0,9,2875315.5555555555
